county,nursing home capacity
EL PASO,124
EL PASO,124
EL PASO,58
EL PASO,75
EL PASO,60
EL PASO,120
EL PASO,126
ELLIS,136
ELLIS,155
ELLIS,124
ELLIS,74
ELLIS,120
ELLIS,144
ELLIS,152
ELLIS,121
ELLIS,132
ERATH,102
ERATH,122
ERATH,46
FALLS,86
FALLS,85
FANNIN,65
FANNIN,160
FANNIN,108
FANNIN,102
FANNIN,79
FANNIN,112
FAYETTE,70
FAYETTE,94
FAYETTE,104
FAYETTE,90
FAYETTE,146
FLOYD,52
FOARD,80
FORT BEND,125
FORT BEND,60
FORT BEND,150
FORT BEND,125
FORT BEND,120
FORT BEND,58
FORT BEND,56
FORT BEND,118
FORT BEND,92
FORT BEND,56
FORT BEND,142
FORT BEND,150
FORT BEND,112
FORT BEND,90
FRANKLIN,95
FREESTONE,101
FREESTONE,84
FREESTONE,76
FRIO,150
GAINES,79
GALVESTON,150
GALVESTON,150
GALVESTON,96
GALVESTON,120
GALVESTON,107
GALVESTON,48
GALVESTON,194
GALVESTON,100
GALVESTON,107
GALVESTON,120
GALVESTON,134
GALVESTON,135
GALVESTON,134
GARZA,75
GILLESPIE,90
GILLESPIE,119
GILLESPIE,60
GILLESPIE,120
GOLIAD,90
GONZALES,80
GONZALES,132
GRAY,64
GRAY,120
GRAY,88
GRAYSON,65
GRAYSON,150
GRAYSON,71
GRAYSON,140
GRAYSON,136
GRAYSON,133
GRAYSON,142
GRAYSON,116
GRAYSON,179
GRAYSON,132
GRAYSON,60
GRAYSON,100
GREGG,118
GREGG,20
GREGG,106
GREGG,140
GREGG,171
GREGG,198
GREGG,92
GREGG,115
GREGG,140
GREGG,116
GRIMES,125
GRIMES,172
GUADALUPE,96
GUADALUPE,120
GUADALUPE,150
GUADALUPE,113
GUADALUPE,134
GUADALUPE,115
GUADALUPE,122
HALE,93
HALE,121
HALL,72
HAMILTON,82
HAMILTON,76
HAMILTON,80
HANSFORD,84
HARDIN,60
HARDIN,120
HARDIN,90
HARDIN,67
HARDIN,160
HARRIS,120
HARRIS,100
HARRIS,120
HARRIS,125
HARRIS,130
HARRIS,105
HARRIS,46
HARRIS,122
HARRIS,96
HARRIS,169
HARRIS,200
HARRIS,174
HARRIS,202
HARRIS,37
HARRIS,130
HARRIS,56
HARRIS,98
HARRIS,120
HARRIS,70
HARRIS,44
HARRIS,124
HARRIS,120
HARRIS,124
HARRIS,125
HARRIS,146
HARRIS,125
HARRIS,112
HARRIS,120
HARRIS,120
HARRIS,125
HARRIS,120
HARRIS,62
HARRIS,150
HARRIS,70
HARRIS,148
HARRIS,125
HARRIS,187
HARRIS,120
HARRIS,124
HARRIS,70
HARRIS,148
HARRIS,148
HARRIS,180
HARRIS,120
HARRIS,125
HARRIS,120
HARRIS,125
HARRIS,42
HARRIS,94
HARRIS,120
HARRIS,128
HARRIS,144
HARRIS,134
HARRIS,112
HARRIS,198
HARRIS,158
HARRIS,128
HARRIS,90
HARRIS,114
HARRIS,93
HARRIS,32
HARRIS,131
HARRIS,104
HARRIS,224
HARRIS,70
HARRIS,60
HARRIS,240
HARRIS,124
HARRIS,116
HARRIS,136
HARRIS,180
HARRIS,120
HARRIS,202
HARRIS,118
HARRIS,124
HARRIS,126
HARRIS,134
HARRIS,134
HARRIS,125
HARRIS,125
HARRIS,130
HARRIS,126
HARRIS,130
HARRIS,70
HARRIS,58
HARRIS,124
HARRIS,112
HARRIS,125
HARRIS,116
HARRIS,196
HARRIS,101
HARRIS,131
HARRIS,35
HARRIS,112
HARRIS,135
HARRIS,150
HARRIS,125
HARRIS,131
HARRIS,126
HARRIS,70
HARRIS,120
HARRIS,122
HARRISON,125
HARRISON,179
HARRISON,118
HARTLEY,54
HASKELL,68
HAYS,60
HAYS,126
HAYS,116
HAYS,174
HAYS,129
HAYS,122
HEMPHILL,58
HENDERSON,120
HENDERSON,82
HENDERSON,132
HENDERSON,112
HENDERSON,90
HENDERSON,90
HIDALGO,130
HIDALGO,120
HIDALGO,96
HIDALGO,126
HIDALGO,120
HIDALGO,160
HIDALGO,194
HIDALGO,93
HIDALGO,120
HIDALGO,122
HIDALGO,100
HIDALGO,122
HIDALGO,114
HIDALGO,123
HIDALGO,170
HIDALGO,120
HIDALGO,123
HIDALGO,122
HIDALGO,60
HIDALGO,120
HIDALGO,147
HIDALGO,120
HILL,105
HILL,138
HILL,82
HILL,88
HOCKLEY,87
HOCKLEY,120
HOOD,174
HOOD,95
HOOD,142
HOOD,99
HOPKINS,144
HOPKINS,120
HOPKINS,128
HOPKINS,95
HOUSTON,104
HOUSTON,90
HOUSTON,113
HOUSTON,83
HOWARD,120
HOWARD,160
HOWARD,117
HUNT,116
HUNT,120
HUNT,103
HUNT,120
HUNT,126
HUTCHINSON,110
HUTCHINSON,120
JACK,104
JACKSON,120
JACKSON,91
JASPER,107
JASPER,114
JASPER,114
JEFFERSON,214
JEFFERSON,82
JEFFERSON,120
JEFFERSON,46
JEFFERSON,50
JEFFERSON,132
JEFFERSON,120
JEFFERSON,148
JEFFERSON,98
JEFFERSON,138
JEFFERSON,120
JEFFERSON,140
JEFFERSON,150
JEFFERSON,199
JIM HOGG,60
JIM WELLS,201
JIM WELLS,136
JIM WELLS,104
JIM WELLS,48
JOHNSON,115
JOHNSON,120
JOHNSON,140
JOHNSON,122
JOHNSON,134
JOHNSON,82
JOHNSON,126
JONES,36
JONES,60
JONES,112
KARNES,120
KARNES,64
KARNES,60
KAUFMAN,116
KAUFMAN,115
KAUFMAN,92
KAUFMAN,124
KAUFMAN,60
KAUFMAN,115
KAUFMAN,94
KAUFMAN,108
KENDALL,74
KENDALL,120
KENDALL,40
KENDALL,96
KENDALL,126
KENDALL,76
KENT,60
KERR,60
KERR,64
KERR,150
KERR,150
KLEBERG,120
KLEBERG,146
KNOX,66
KNOX,61
LA SALLE,60
LAMAR,119
LAMAR,90
LAMAR,120
LAMAR,98
LAMAR,150
LAMB,35
LAMB,80
LAMB,75
LAMPASAS,80
LAMPASAS,68
LAMPASAS,120
LAVACA,190
LAVACA,119
LAVACA,61
LAVACA,95
LAVACA,110
LEE,84
LEE,102
LEON,74
LIBERTY,142
LIBERTY,60
LIBERTY,118
LIBERTY,118
LIMESTONE,90
LIMESTONE,90
LIMESTONE,66
LIMESTONE,80
LIMESTONE,66
LIPSCOMB,61
LIVE OAK,100
LLANO,122
LLANO,96
LUBBOCK,120
LUBBOCK,140
LUBBOCK,108
LUBBOCK,42
LUBBOCK,159
LUBBOCK,90
LUBBOCK,93
LUBBOCK,120
LUBBOCK,117
LUBBOCK,95
LUBBOCK,144
LUBBOCK,120
LUBBOCK,132
LUBBOCK,126
LUBBOCK,120
LUBBOCK,120
MADISON,116
MADISON,90
MARION,116
MATAGORDA,105
MATAGORDA,120
MATAGORDA,100
MAVERICK,114
MAVERICK,104
MAVERICK,114
MCCULLOCH,106
MCLENNAN,126
MCLENNAN,140
MCLENNAN,186
MCLENNAN,194
MCLENNAN,128
MCLENNAN,95
MCLENNAN,151
MCLENNAN,202
MCLENNAN,144
MCLENNAN,90
MCLENNAN,120
MCLENNAN,120
MCLENNAN,225
MCLENNAN,123
MCLENNAN,120
MCLENNAN,132
MCLENNAN,120
MEDINA,100
MEDINA,75
MENARD,40
MIDLAND,144
MIDLAND,106
MIDLAND,112
MIDLAND,200
MIDLAND,125
MILAM,104
MILAM,105
MILAM,45
MILLS,94
MILLS,52
MITCHELL,96
MONTAGUE,180
MONTAGUE,91
MONTGOMERY,150
MONTGOMERY,108
MONTGOMERY,125
MONTGOMERY,146
MONTGOMERY,194
MONTGOMERY,122
MONTGOMERY,90
MONTGOMERY,124
MONTGOMERY,156
MONTGOMERY,214
MONTGOMERY,114
MOORE,120
MOORE,56
MORRIS,117
MOTLEY,50
NACOGDOCHES,93
NACOGDOCHES,60
NACOGDOCHES,120
NACOGDOCHES,108
NACOGDOCHES,166
NAVARRO,96
NAVARRO,124
NAVARRO,148
NAVARRO,107
NAVARRO,102
NAVARRO,70
NEWTON,84
NOLAN,96
NOLAN,100
NUECES,146
NUECES,75
NUECES,120
NUECES,120
NUECES,94
NUECES,41
NUECES,176
NUECES,120
NUECES,178
NUECES,121
NUECES,204
NUECES,114
NUECES,120
NUECES,120
NUECES,120
NUECES,94
OCHILTREE,60
ORANGE,120
ORANGE,111
ORANGE,100
ORANGE,144
PALO PINTO,109
PALO PINTO,106
PANOLA,91
PANOLA,104
PANOLA,108
PARKER,120
PARKER,132
PARKER,72
PARKER,59
PARKER,120
PARKER,120
PARKER,122
PARKER,125
PARMER,75
PARMER,83
PECOS,120
POLK,86
POLK,120
POLK,125
POLK,120
POTTER,122
POTTER,60
POTTER,102
POTTER,120
POTTER,116
POTTER,98
POTTER,99
POTTER,120
POTTER,120
POTTER,120
POTTER,120
RAINS,68
RANDALL,76
RANDALL,120
RANDALL,150
REAGAN,42
REAL,86
RED RIVER,132
RED RIVER,120
REEVES,89
REFUGIO,90
REFUGIO,64
ROBERTSON,82
ROBERTSON,90
ROBERTSON,80
ROCKWALL,190
ROCKWALL,140
ROCKWALL,120
ROCKWALL,192
ROCKWALL,163
ROCKWALL,114
RUNNELS,114
RUNNELS,126
RUNNELS,48
RUSK,125
RUSK,173
RUSK,97
RUSK,100
SABINE,90
SABINE,90
SAN AUGUSTINE,107
SAN AUGUSTINE,90
SAN AUGUSTINE,88
SAN JACINTO,100
SAN PATRICIO,90
SAN PATRICIO,97
SAN SABA,72
SCHLEICHER,34
SCURRY,80
SHELBY,96
SHELBY,137
SHELBY,120
SHERMAN,42
SMITH,90
SMITH,80
SMITH,230
SMITH,120
SMITH,30
SMITH,120
SMITH,120
SMITH,120
SMITH,125
SMITH,99
SMITH,172
SMITH,96
SMITH,120
SMITH,92
SMITH,100
SMITH,120
SOMERVELL,102
SOMERVELL,118
STARR,100
STARR,120
STEPHENS,92
STERLING,44
STONEWALL,53
SWISHER,52
TARRANT,100
TARRANT,118
TARRANT,168
TARRANT,204
TARRANT,90
TARRANT,122
TARRANT,148
TARRANT,114
TARRANT,54
TARRANT,142
TARRANT,116
TARRANT,142
TARRANT,120
TARRANT,139
TARRANT,62
TARRANT,107
TARRANT,115
TARRANT,178
TARRANT,120
TARRANT,140
TARRANT,60
TARRANT,180
TARRANT,70
TARRANT,122
TARRANT,210
TARRANT,98
TARRANT,161
TARRANT,143
TARRANT,136
TARRANT,198
TARRANT,104
TARRANT,120
TARRANT,124
TARRANT,84
TARRANT,100
TARRANT,132
TARRANT,127
TARRANT,170
TARRANT,142
TARRANT,179
TARRANT,123
TARRANT,120
TARRANT,120
TARRANT,92
TARRANT,155
TARRANT,120
TARRANT,134
TARRANT,120
TARRANT,265
TARRANT,46
TARRANT,120
TARRANT,60
TARRANT,100
TARRANT,128
TARRANT,100
TARRANT,126
TARRANT,132
TARRANT,100
TARRANT,106
TARRANT,161
TARRANT,120
TARRANT,146
TARRANT,58
TARRANT,140
TARRANT,109
TARRANT,118
TARRANT,127
TARRANT,126
TARRANT,118
TARRANT,163
TARRANT,114
TARRANT,41
TARRANT,112
TARRANT,126
TARRANT,234
TARRANT,108
TAYLOR,120
TAYLOR,188
TAYLOR,89
TAYLOR,96
TAYLOR,120
TAYLOR,116
TAYLOR,30
TAYLOR,96
TAYLOR,120
TAYLOR,123
TAYLOR,66
TERRY,108
TERRY,54
TITUS,122
TITUS,150
TITUS,90
TOM GREEN,126
TOM GREEN,166
TOM GREEN,80
TOM GREEN,90
TOM GREEN,120
TOM GREEN,72
TOM GREEN,125
TRAVIS,120
TRAVIS,120
TRAVIS,120
TRAVIS,46
TRAVIS,90
TRAVIS,118
TRAVIS,76
TRAVIS,134
TRAVIS,110
TRAVIS,118
TRAVIS,197
TRAVIS,124
TRAVIS,60
TRAVIS,126
TRAVIS,67
TRAVIS,125
TRAVIS,124
TRAVIS,42
TRAVIS,157
TRAVIS,122
TRAVIS,119
TRAVIS,120
TRAVIS,116
TRAVIS,90
TRAVIS,80
TRAVIS,125
TRAVIS,206
TRAVIS,140
TRAVIS,98
TRAVIS,92
TRAVIS,111
TRAVIS,120
TRINITY,47
TRINITY,118
TRINITY,76
TYLER,90
TYLER,93
UPSHUR,112
UPSHUR,93
UPSHUR,100
UPSHUR,120
UPTON,30
UVALDE,200
UVALDE,115
VAL VERDE,60
VAL VERDE,120
VAL VERDE,80
VAN ZANDT,120
VAN ZANDT,76
VAN ZANDT,76
VAN ZANDT,120
VAN ZANDT,60
VAN ZANDT,117
VICTORIA,142
VICTORIA,56
VICTORIA,90
VICTORIA,200
WALKER,88
WALKER,92
WALKER,66
WALLER,130
WALLER,118
WARD,92
WASHINGTON,128
WASHINGTON,62
WASHINGTON,96
WASHINGTON,65
WEBB,120
WEBB,138
WEBB,186
WEBB,198
WEBB,112
WHARTON,150
WHARTON,57
WHARTON,120
WHARTON,120
WHEELER,90
WICHITA,60
WICHITA,130
WICHITA,64
WICHITA,77
WICHITA,180
WICHITA,109
WICHITA,75
WICHITA,72
WICHITA,121
WICHITA,57
WICHITA,86
WICHITA,144
WICHITA,309
WICHITA,98
WILBARGER,120
WILBARGER,106
WILLACY,120
WILLIAMSON,70
WILLIAMSON,122
WILLIAMSON,114
WILLIAMSON,124
WILLIAMSON,120
WILLIAMSON,116
WILLIAMSON,184
WILLIAMSON,142
WILLIAMSON,140
WILLIAMSON,112
WILLIAMSON,120
WILLIAMSON,128
WILLIAMSON,142
WILLIAMSON,179
WILLIAMSON,96
WILSON,144
WILSON,160
WILSON,120
WILSON,91
WILSON,68
WISE,152
WISE,124
WISE,60
WISE,110
WOOD,164
WOOD,115
WOOD,164
WOOD,60
WOOD,112
YOAKUM,60
YOUNG,116
YOUNG,120
YOUNG,99
ZAPATA,59
