county,hospital beds
DAWSON,22
DEAF SMITH,42
DENTON,40
DENTON,41
DENTON,255
DENTON,202
DENTON,104
DENTON,44
DENTON,13
DENTON,26
DENTON,42
DENTON,8
DENTON,20
DENTON,45
DENTON,54
DENTON,235
DENTON,208
DENTON,103
DENTON,60
DENTON,16
DENTON,10
DEWITT,49
DIMMIT,48
EASTLAND,52
ECTOR,14
ECTOR,402
ECTOR,230
ECTOR,23
EL PASO,182
EL PASO,40
EL PASO,394
EL PASO,508
EL PASO,351
EL PASO,347
EL PASO,122
EL PASO,163
EL PASO,41
EL PASO,8
EL PASO,8
EL PASO,106
EL PASO,33
EL PASO,31
EL PASO,287
EL PASO,74
EL PASO,32
EL PASO,62
EL PASO,-999
EL PASO,40
ELLIS,104
ELLIS,60
ELLIS,69
ERATH,98
FALLS,36
FANNIN,25
FANNIN,292
FAYETTE,65
FISHER,14
FLOYD,25
FORT BEND,168
FORT BEND,7
FORT BEND,6
FORT BEND,105
FORT BEND,68
FORT BEND,100
FORT BEND,6
FORT BEND,319
FORT BEND,57
FORT BEND,72
FORT BEND,50
FORT BEND,147
FORT BEND,41
FRANKLIN,49
FREESTONE,37
FRIO,22
FRIO,18
GAINES,25
GALVESTON,370
GALVESTON,88
GALVESTON,30
GALVESTON,223
GILLESPIE,86
GONZALES,34
GRAY,115
GRAYSON,202
GRAYSON,21
GRAYSON,14
GRAYSON,60
GRAYSON,16
GRAYSON,24
GRAYSON,245
GRAYSON,20
GREGG,425
GREGG,230
GREGG,31
GREGG,76
GREGG,60
GREGG,24
GREGG,36
GRIMES,25
GUADALUPE,125
HALE,68
HALE,20
HAMILTON,42
HANSFORD,25
HARDEMAN,24
HARDEMAN,21
HARDIN,-999
HARRIS,205
HARRIS,64
HARRIS,864
HARRIS,255
HARRIS,208
HARRIS,178
HARRIS,350
HARRIS,37
HARRIS,61
HARRIS,358
HARRIS,21
HARRIS,193
HARRIS,1128
HARRIS,313
HARRIS,221
HARRIS,131
HARRIS,170
HARRIS,50
HARRIS,49
HARRIS,84
HARRIS,65
HARRIS,42
HARRIS,116
HARRIS,90
HARRIS,60
HARRIS,631
HARRIS,14
HARRIS,1082
HARRIS,139
HARRIS,621
HARRIS,458
HARRIS,397
HARRIS,106
HARRIS,4
HARRIS,182
HARRIS,16
HARRIS,547
HARRIS,116
HARRIS,83
HARRIS,74
HARRIS,12
HARRIS,25
HARRIS,74
HARRIS,66
HARRIS,-999
HARRIS,88
HARRIS,24
HARRIS,135
HARRIS,134
HARRIS,60
HARRIS,60
HARRIS,49
HARRIS,40
HARRIS,62
HARRIS,46
HARRIS,20
HARRIS,8
HARRIS,31
HARRIS,4
HARRIS,124
HARRIS,35
HARRIS,35
HARRIS,68
HARRIS,137
HARRIS,302
HARRIS,40
HARRIS,426
HARRIS,444
HARRIS,40
HARRIS,106
HARRIS,5
HARRIS,10
HARRIS,12
HARRIS,4
HARRIS,59
HARRIS,102
HARRIS,74
HARRIS,115
HARRIS,75
HARRIS,98
HARRIS,16
HARRIS,96
HARRIS,45
HARRIS,19
HARRIS,16
HARRIS,69
HARRIS,30
HARRIS,10
HARRIS,744
HARRIS,430
HARRIS,260
HARRIS,531
HARRIS,180
HARRIS,349
HARRIS,39
HARRIS,46
HARRIS,293
HARRIS,373
HARRIS,-999
HARRIS,110
HARRIS,144
HARRIS,90
HARRIS,148
HARRIS,24
HARRIS,120
HARRIS,48
HARRIS,7
HARRIS,6
HARRIS,30
HARRISON,149
HARTLEY,21
HASKELL,25
HAYS,112
HAYS,40
HAYS,178
HAYS,24
HAYS,4
HEMPHILL,26
HENDERSON,117
HIDALGO,297
HIDALGO,87
HIDALGO,-999
HIDALGO,253
HIDALGO,320
HIDALGO,226
HIDALGO,53
HIDALGO,441
HIDALGO,134
HIDALGO,32
HIDALGO,151
HIDALGO,32
HIDALGO,62
HIDALGO,213
HIDALGO,14
HIDALGO,25
HIDALGO,46
HILL,116
HILL,49
HOCKLEY,48
HOOD,83
HOPKINS,96
HOUSTON,25
HOWARD,150
HOWARD,-999
HOWARD,200
HUNT,192
HUNT,54
HUTCHINSON,25
JACK,17
JACKSON,25
JASPER,59
JEFFERSON,431
JEFFERSON,224
JEFFERSON,227
JEFFERSON,48
JEFFERSON,6
JEFFERSON,17
JEFFERSON,27
JEFFERSON,51
JEFFERSON,363
JEFFERSON,120
JEFFERSON,18
JEFFERSON,2
JEFFERSON,61
JEFFERSON,17
JEFFERSON,15
JIM WELLS,159
JOHNSON,137
JONES,25
JONES,45
JONES,25
KARNES,25
KAUFMAN,-999
KAUFMAN,316
KAUFMAN,91
KERR,124
KERR,202
KERR,226
KIMBLE,15
KLEBERG,100
KNOX,28
LAMAR,214
LAMAR,25
LAMAR,154
LAMB,75
LAMPASAS,25
LAVACA,25
LAVACA,25
LIBERTY,25
LIBERTY,4
LIBERTY,107
LIMESTONE,20
LIMESTONE,59
LLANO,30
LUBBOCK,73
LUBBOCK,30
LUBBOCK,74
