County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Anderson,16887,0.293605258,77.95937704,19.88511873,0.337537751,1.817966483,35.9,0.465,23.6,24.15,24.5,0.8,13.2,13.75,0.09,70.7,0.36,0.34,0.115,317.3,0.264,311.56,93.1,0.229050967,-0.948391126,0.711661717,5.46252E-06,5.46252E-06,7.36841E-05,0.000422619,-0.470898281
Andrews,4926,0.350854701,79.67925294,16.97117337,0.365408039,2.984165652,38.4,0.531,20.9,16.5,24.25,1.1,18.45,18.85,0.1,82.4,0.282,0.303,0.099,479.1,0.271,536.37,79.8,0.827518773,-1.081740945,0.821885627,4.48729E-05,4.48729E-05,0.000108702,0.000621744,-0.052598594
Angelina,29870,0.35299818,72.53431537,25.23602277,0.354871108,1.87479076,51.3,0.452,27.75,18,23.15,0.7,11.45,18.9,0.09,72.7,0.396,0.318,0.11,438,0.252,350.84,65.2,0.620367004,-0.793494326,0.479538497,2.9459E-05,2.9459E-05,6.01377E-05,0.000468257,-0.681731686
Aransas,10467,0.439273124,73.85115124,23.48332856,0.39170727,2.273812936,67.9,0.47,31.05,19.6,23.6,1.65,13.25,10.9,0.09,72.6,0.378,0.278,0.121,457.8,0.266,186.09,102.4,-0.093289446,-0.794146819,0.733924079,4.35288E-05,4.35288E-05,8.93569E-05,0.000352795,-0.21667851
Archer,4269,0.474596998,88.66245022,9.229327711,0.234246896,1.87397517,62.9,0.409,28.2,14.6,24.1,3.4,15.6,14.15,0.08,34.9,0.213,0.295,0.125,90.5,0.245,112.93,59.6,1.421797538,0.230078931,0.547123161,8.40015E-06,8.40015E-06,8.05821E-05,0.00042607,-0.653377726
Armstrong,1017,0.519672969,90.85545723,6.882989184,0.491642085,1.769911504,0,0.375,33.5,23.05,22.7,0.8,8.15,11.75,,48.4,0.358,0.269,0.113,,0.262,0,,1.301241871,0.135936394,0.806203917,3.72132E-05,3.72132E-05,9.94044E-05,0.000591723,-0.132098703
Atascosa,13605,0.307687089,63.19735391,34.06835722,0.477765527,2.256523337,55.4,0.429,24.4,16.1,24.2,1.5,18.7,15.1,0.09,69.7,0.352,0.308,0.102,335.7,0.266,189.97,60,0.007028384,-1.157331042,0.759771073,1.97742E-05,1.97742E-05,0.000103928,0.000310983,-0.26899669
Austin,12255,0.445766041,78.6372909,18.92288862,0.416156671,2.023663811,34.4,0.452,29.55,19.35,22.2,0.85,10.95,17.05,0.07,43,0.269,0.308,0.103,188.4,0.234,233.82,69.1,0.86007759,0.053106672,0.507504199,2.3972E-05,2.3972E-05,6.24048E-05,0.000285312,-0.667859955
Bailey,1784,0.26382727,75.28026906,22.25336323,0.280269058,2.186098655,49.7,0.427,28.6,16.4,22.1,14,4.7,14.2,0.09,107.8,0.188,0.289,0.097,193.2,0.325,303.86,91.1,-0.003388345,-0.795919095,0.923399474,0.000137445,0.000137445,0.000140197,0.001180544,0.61194114
Bandera,10213,0.502830978,79.88837756,16.90002937,0.64623519,2.565357877,38.7,0.452,37.95,20.25,20.15,1.55,14.85,5.3,0.09,36.3,0.256,0.29,0.13,107.1,0.264,83.84,74,1.332075428,-0.467930473,0.939665415,9.48316E-05,9.48316E-05,9.05536E-05,0.000670817,0.308167958
Bastrop,28250,0.386726718,57.74867257,37.36283186,1.132743363,3.755752212,33.2,0.407,31.35,15.1,23.5,0.85,17.55,11.7,0.07,51.6,0.259,0.312,0.103,391.4,0.258,414.82,74.2,-0.747845022,-0.165025694,0.509321492,2.6793E-05,2.6793E-05,3.32333E-05,0.000315259,-0.717250613
Baylor,1492,0.397125366,84.91957105,12.80160858,0.201072386,2.077747989,16.1,0.515,32.35,15.2,27.75,3.4,14.55,6.7,0.1,66.3,0.211,0.273,0.117,240.6,0.255,453.94,121.2,1.095568994,-0.739155169,1.303575307,0.000140428,0.000140428,0.000167744,0.000984686,1.180480892
Bee,8458,0.263185736,56.07708678,40.70702294,0.401986285,2.813903996,36.8,0.476,23.35,36.45,19.2,3.35,9.1,8.5,0.09,75.7,0.413,0.3,0.095,676.1,0.226,271.79,56.4,-0.349958199,-1.407915393,1.032377032,-2.61649E-05,2.61649E-05,0.000178734,0.000593714,0.284135732
Bell,93999,0.320909892,55.0856924,40.00893627,0.862775136,4.042596198,40.1,0.424,31.6,20.3,26.4,0.2,9.85,11.65,0.09,66,0.365,0.291,0.096,1253.5,0.202,404.2,51.5,0.141290092,-0.46496915,0.764293181,7.20719E-05,7.20719E-05,8.36075E-05,0.000997023,-0.047868787
Bexar,586038,0.355218679,40.98044837,54.46592201,1.131837867,3.421791761,44.7,0.463,33.4,18.15,28,0.2,10.3,9.85,0.09,57.8,0.368,0.293,0.093,677.8,0.231,507.66,58.7,0.001802071,-0.491244208,0.665190644,3.89189E-05,3.89189E-05,4.48629E-05,0.000150115,-0.428955118
Blanco,5669,0.580423876,74.29881813,21.94390545,0.582113247,3.175163168,40.6,0.44,35.9,14.8,22.5,1.7,18.15,6.9,0.07,37.1,0.263,0.294,0.112,217,0.285,207.38,99.2,0.509861954,0.03579874,0.515085505,2.68237E-05,2.68237E-05,6.27683E-05,0.000662734,-0.642999658
Borden,365,0.5954323,90.4109589,8.493150685,0.273972603,0.821917808,,0.502,38.25,17.75,14.45,5.2,17.1,7.2,,,0.204,0.282,0.114,,0.168,0,,3.57032573,,,,,,,
Bosque,7797,0.433986419,81.12094395,16.37809414,0.513017827,1.987944081,36.3,0.421,29.1,19.15,22.4,1.6,10.05,17.75,0.08,47.9,0.259,0.283,0.107,218.5,0.265,88.16,86.4,0.435726711,-0.647743673,0.606214847,4.54797E-05,4.54797E-05,6.0202E-05,0.000534254,-0.437826001
Bowie,34470,0.373849007,72.27444154,25.61937917,0.417754569,1.688424717,53.4,0.469,30.05,17.6,25.25,0.65,12.35,14.05,0.1,67,0.391,0.315,0.11,384.7,0.222,728.02,74.2,1.110918591,-0.841181047,0.646603494,1.56331E-05,1.56331E-05,4.69163E-05,0.000197016,-0.564622292
Brazoria,120296,0.397364031,60.39519186,35.80750815,0.667520117,3.129779876,47.3,0.416,38.2,14.05,22.65,0.4,12.5,12.15,0.08,50,0.274,0.29,0.094,341.6,0.214,193.51,56.4,1.359744508,0.378022211,0.519499991,-1.85592E-05,1.85592E-05,7.30901E-05,0.000292936,-0.655267931
Brazos,66036,0.360623867,58.54685323,34.89157429,0.805621176,5.755951299,42.9,0.529,38.75,18.2,23.95,0.6,10.05,8.55,0.08,26.7,0.387,0.283,0.071,503,0.242,393.69,37.2,0.320682393,-0.218486627,1.262340147,0.000170787,0.000170787,0.000213272,0.001301752,1.381495428
Brewster,4226,0.458152645,49.05347847,44.22621865,1.798390913,4.921911974,27,0.49,28.45,26.9,18.65,1.5,15.2,9.3,0.09,51.4,0.193,0.27,0.09,426.2,0.272,185.38,58.1,1.064250821,-0.249671206,0.979168841,7.91454E-05,7.91454E-05,8.46849E-05,0.000545184,0.267670095
Briscoe,734,0.455900621,85.14986376,12.39782016,0.544959128,1.907356948,48.9,0.392,32.7,19,20.2,9.1,11.45,7.55,,64.4,0.379,0.288,0.116,,0.363,42.19,,-0.678366812,-1.015782686,0.713671215,4.9043E-05,4.9043E-05,9.71736E-05,0.000407267,-0.197689038
Brooks,2596,0.35324534,23.61325116,74.61479199,0.539291217,1.232665639,41.9,0.512,25.45,31.1,23.1,4.2,9.15,7,0.12,130.4,0.53,0.29,0.106,886.2,0.25,361.79,100.6,-1.189746996,-2.979824566,1.084551398,-0.000188458,0.000188458,0.000614263,0.002466663,2.144729113
Brown,13949,0.365491943,86.09936196,11.62090472,0.465983225,1.81375009,31,0.476,26.75,18.2,23.35,0.95,10.95,19.8,0.09,57.7,0.292,0.323,0.105,382.3,0.238,353.22,67.6,1.052401035,-0.819975886,0.562804451,1.27076E-05,1.27076E-05,5.93583E-05,0.000161343,-0.659488831
Burleson,6945,0.410703726,76.54427646,21.46868251,0.287976962,1.699064075,53,0.409,25.25,18.35,20.45,1.95,16.85,17.2,0.08,57.7,0.264,0.319,0.118,301.4,0.275,190.77,84.4,0.252333597,-0.665349595,0.565844982,2.44322E-05,2.44322E-05,4.09161E-05,0.000125724,-0.638629254
Burnet,19046,0.44214876,76.63026357,19.8729392,0.540795968,2.95600126,47,0.442,28.5,18.15,26.35,0.95,15.85,10.15,0.07,52.9,0.367,0.277,0.101,250.5,0.278,172.45,86.3,0.130266556,-0.117801871,0.613195398,4.32369E-05,4.32369E-05,5.47224E-05,0.000487658,-0.452365147
Caldwell,11709,0.312406617,55.64950038,39.82406696,0.871124776,3.655307883,31.4,0.428,26.75,20.2,24.5,0.35,14.95,13.2,0.09,60.1,0.404,0.32,0.098,577.5,0.284,346.15,61,0.125765952,-1.018037148,0.529020646,1.54808E-06,1.54808E-06,7.56728E-05,0.000253353,-0.722072148
Calhoun,6957,0.333157744,66.66666667,30.44415696,0.474342389,2.41483398,42.5,0.436,26.3,17.2,21.3,1.05,17.25,16.8,0.08,75.4,0.247,0.284,0.104,307.8,0.247,522.36,70.1,0.94218568,-0.451421303,0.580905928,4.706E-05,4.706E-05,4.8183E-05,0.000356799,-0.489775262
Callahan,5556,0.413947251,87.43700504,10.22318215,0.413966883,1.925845932,55.7,0.423,26.25,15.45,25.8,1.4,19.05,12.05,0.1,41.5,0.214,0.296,0.098,207.2,0.255,95.14,87.7,0.342903237,-0.164370049,0.537999007,2.88483E-05,2.88483E-05,3.57586E-05,0.000270551,-0.664215944
Cameron,91804,0.232594788,32.05960525,64.6148316,0.895385822,2.430177334,43.2,0.492,26.6,23.6,26.4,1.05,10.2,12.15,0.08,80,0.373,0.27,0.083,396.3,0.359,319.26,30.7,-0.30310085,-1.640432804,1.522573786,0.000212704,0.000212704,0.000388171,0.001445767,2.321883494
Camp,4542,0.36496585,70.47556143,27.74108322,0.330250991,1.453104359,19.4,0.436,24.7,15.65,20.75,3.75,10,25.2,0.07,79.8,0.372,0.317,0.127,370.8,0.29,248.23,94.4,0.545577103,-1.239255821,0.649291022,7.17739E-07,7.17739E-07,0.000136046,0.000540735,-0.434502411
Carson,2945,0.473929836,88.86247878,8.455008489,0.373514431,2.308998302,52.6,0.385,33.7,9.9,23,3.3,11.35,18.7,0.09,27.8,0.226,0.3,0.108,159.8,0.153,192.27,98.6,1.509589309,0.515684233,0.659250472,-1.82977E-05,1.82977E-05,0.000127546,0.000410128,-0.353026263
Cass,11606,0.388303389,79.11425125,19.38652421,0.284335688,1.214888851,53.6,0.456,24.85,17.5,22.4,2.15,12.55,20.55,0.09,56.3,0.4,0.294,0.114,287.5,0.237,290.87,89.3,0.730493674,-0.879193856,0.435584621,-1.39928E-06,1.39928E-06,4.82016E-05,0.000192619,-0.90559694
Castro,1996,0.261017392,70.79158317,26.35270541,0.501002004,2.354709419,36.7,0.419,29.05,16.7,18.95,9.75,8.3,17.25,0.08,83.8,0.278,0.296,0.1,209.5,0.337,154.39,71.4,-0.683486587,-1.071963642,0.983173056,9.89575E-05,9.89575E-05,0.000123066,0.000375729,0.45837951
Chambers,16661,0.518275422,79.69509633,17.6399976,0.354120401,2.310785667,30.9,0.384,29.75,13.7,20.95,0.9,17.65,17.05,0.07,39.2,0.194,0.302,0.092,53.4,0.193,261.18,81,1.584826823,0.225961035,0.636118252,1.49764E-05,1.49764E-05,6.90924E-05,0.000192603,-0.531415793
Cherokee,16701,0.337782902,77.21693312,20.75324831,0.203580624,1.82623795,30.2,0.45,22.55,22.45,18.6,2.15,11.75,22.55,0.08,73.9,0.376,0.336,0.114,430.2,0.302,456.95,93.6,-0.043031529,-1.348198628,0.580634537,-5.46009E-05,5.46009E-05,0.000144471,0.00037279,-0.235197098
Childress,2084,0.286067261,86.46833013,12.14011516,0.239923225,1.151631478,39.5,0.438,24.95,29.25,24.2,1.7,10.85,9,0.1,107.5,0.324,0.292,0.096,386.6,0.239,335.52,64.7,0.811680077,-1.106422493,0.96250944,8.12633E-05,8.12633E-05,0.000140739,0.000798944,0.38319592
Clay,5011,0.458588817,87.32787867,10.69646777,0.239473159,1.736180403,23.8,0.385,34.15,14.05,24.15,2.7,10.7,14.3,0.07,35.5,0.17,0.293,0.121,83.9,0.228,73.6,76.9,1.122829956,0.33417955,0.574219314,-4.82722E-06,4.82722E-06,9.16779E-05,0.00036009,-0.611150892
Cochran,901,0.290364164,75.36071032,21.08768036,0.332963374,3.218645949,37,0.397,24.7,16.6,17.6,14.05,12.6,14.45,0.08,76.7,0.196,0.303,0.111,321.6,0.335,54.18,,-0.276216124,-1.347884641,1.064021776,8.55147E-05,8.55147E-05,0.000273237,0.000906503,0.834639052
Coke,1423,0.417914831,88.89669712,9.838369642,0.140548138,1.124385102,50,0.381,29.1,21.25,20.3,2.65,14.15,12.5,,35.4,0.304,0.302,0.118,181.5,0.303,29.54,,-0.357651549,-0.643000073,0.820867802,7.09377E-05,7.09377E-05,9.48472E-05,0.000552802,0.044969021
Coleman,3635,0.417049105,87.4002751,10.64649243,0.495185695,1.458046768,25.7,0.497,30.55,19.85,15.75,2.95,10.9,20,0.1,80.5,0.34,0.273,0.116,182.6,0.281,124.53,103.9,-0.024297492,-1.486117273,1.165454266,8.39762E-05,8.39762E-05,0.000303126,0.001097871,1.025533536
Collin,356545,0.471665915,56.20468665,39.2200143,0.707624564,3.867674487,53.3,0.424,49.5,11.4,27.7,0.1,5.75,5.5,0.08,21.6,0.194,0.245,0.08,275.5,0.16,182.81,32.4,1.845511286,1.394676575,0.865370584,-0.000202005,0.000202005,0.000334346,0.000770487,1.297381129
Collingsworth,1154,0.381487603,85.18197574,12.56499133,0.346620451,1.906412478,4.9,0.496,36,17.35,21.95,7.8,7.25,9.65,0.08,85.9,0.349,0.301,0.111,258.7,0.363,10.94,,1.114663235,-1.092248117,1.043794698,7.92058E-05,7.92058E-05,0.000144755,0.000632095,0.48706772
Colorado,8480,0.409384957,74.56367925,23.31367925,0.424528302,1.698113208,32.9,0.46,27.05,15.8,22.2,2.5,13.65,18.75,0.07,50.8,0.328,0.288,0.115,264.2,0.268,254.02,81,-0.731802734,-0.612117165,0.519676938,2.23672E-05,2.23672E-05,3.56993E-05,0.000127619,-0.720397544
Comal,61567,0.576923798,73.08460701,23.00907954,0.557116637,3.34919681,38.8,0.439,37.6,13.6,27.15,0.15,11.05,10.45,0.07,41.9,0.204,0.291,0.102,254.5,0.208,275.89,67.4,0.711514,0.568614501,0.454455555,-4.53119E-05,4.53119E-05,0.000102633,0.000329745,-0.539110942
Comanche,5208,0.378901419,82.56528418,15.13056836,0.403225806,1.900921659,23.4,0.43,27,18.1,19.95,7.95,10,17.05,0.07,72,0.238,0.288,0.11,165.6,0.329,230.3,103.9,0.337774205,-0.947724625,0.831975505,5.39196E-05,5.39196E-05,0.000132694,0.00037052,0.059755893
Concho,1067,0.277286902,82.94283037,13.87066542,0.656044986,2.530459231,20.3,0.415,35.45,18.85,14.65,6.1,16.05,8.9,,68.6,0.459,0.314,0.091,122.5,0.273,83.85,,0.069673789,-1.150090374,0.935037458,3.63101E-05,3.63101E-05,0.000170571,0.000554368,0.190534171
Cooke,15894,0.413583138,82.88662388,14.75399522,0.377500944,1.981879955,38.3,0.438,27.7,17.75,21.9,0.55,12.5,19.5,0.08,59.3,0.277,0.316,0.102,260.4,0.261,260.68,87.2,0.076922956,-0.197927753,0.545657546,3.40437E-05,3.40437E-05,4.1245E-05,0.000325074,-0.615992878
Coryell,18127,0.244952839,67.36911789,27.8976113,0.882661224,3.850609588,43.5,0.382,26.3,21.3,24.95,0.65,16.95,9.85,0.08,47.7,0.302,0.295,0.087,450.9,0.181,219.27,45.4,0.594800716,-0.200930204,0.732335427,5.71775E-05,5.71775E-05,7.0624E-05,0.00065042,-0.192851903
Cottle,583,0.364375,83.3619211,14.40823328,0.343053173,1.886792453,31.3,0.393,25.25,27.95,19.6,7.65,5.6,13.9,,69.2,0.284,0.29,0.125,,0.327,43.16,,-2.177769092,-0.271569092,1.053586919,0.000116546,0.000116546,0.000155428,0.000891943,0.710256502
Crane,1381,0.333574879,75.81462708,21.65097755,0.506879073,2.027516293,39.7,0.387,21.85,20.8,20.45,0,15.55,21.35,0.13,54.8,0.203,0.296,0.098,228.2,0.254,116.54,,-0.326309745,-1.025956161,0.814172171,6.44911E-05,6.44911E-05,0.000172449,0.000614462,0.179232151
Crockett,1395,0.371900826,70.25089606,26.66666667,0.286738351,2.795698925,70.1,0.47,20.15,14.1,22.55,1.2,18.7,23.25,0.08,96.7,0.261,0.305,0.103,564.2,0.294,,,-1.021951143,-1.159967109,1.074040833,9.0749E-05,9.0749E-05,0.000157616,0.00061814,0.612828463
Crosby,1712,0.276798707,68.92523364,27.3364486,0.292056075,3.446261682,32.5,0.45,29.75,19.75,19.9,7.8,10.2,12.6,0.1,104,0.265,0.28,0.11,508.9,0.275,152.56,64.4,-0.551552848,-1.342874194,0.82702577,6.3327E-05,6.3327E-05,0.000171181,0.000414113,0.187175767
Culberson,762,0.312679524,36.74540682,59.58005249,0.656167979,3.018372703,0,0.541,34.5,29.45,20.4,0.65,9.8,5.2,0.09,86.2,0.188,0.29,0.105,335.7,0.343,110.68,,-2.001063265,-2.28360893,1.790592677,0.000143677,0.000143677,0.000695812,0.002230339,3.017904658
Dallam,1535,0.238799004,81.95439739,14.46254072,0.586319218,2.996742671,48.8,0.396,18.8,16.35,20.5,6.05,15.7,22.6,0.08,103.2,0.309,0.284,0.091,451.5,0.346,237.07,68.1,-0.819428752,-0.88922349,1.18698676,0.000133696,0.000133696,0.000140487,0.000876048,0.934636335
Dallas,750649,0.315978653,34.88514605,61.12643859,0.810631867,3.177783491,38.1,0.492,31.7,16.55,25.85,0.2,12.55,13.2,0.08,67.8,0.38,0.303,0.092,714.6,0.305,498.24,52,-0.437630603,-0.746817377,0.988973483,7.50902E-05,7.50902E-05,9.33296E-05,0.000333216,0.279603665
Dawson,3562,0.257518797,74.00336889,23.44188658,0.308815272,2.245929253,36.7,0.455,27.65,20.55,23.95,6.8,10.5,10.5,0.11,97.2,0.271,0.299,0.102,603.6,0.268,334.69,60.7,0.064208712,-1.420645979,0.7743255,2.01065E-05,2.01065E-05,0.000146462,0.000389963,-0.15254167
De Witt,6822,0.341800691,80.7681032,17.01846966,0.395778364,1.817648783,51,0.444,24.25,18.5,22.05,1.55,15.4,18.3,0.07,63.1,0.366,0.281,0.107,395,0.24,184.41,63.9,0.004299334,-0.83674064,0.630428247,2.89116E-05,2.89116E-05,6.82482E-05,0.000282003,-0.47109535
Deaf Smith,4201,0.222841078,69.29302547,28.20756963,0.333253987,2.166150916,48.7,0.39,22.9,16.2,21.4,6.25,11.45,21.8,0.08,97.2,0.297,0.317,0.092,316.4,0.314,377.99,54.6,-1.567175861,-1.00387881,0.944454084,0.000107256,0.000107256,0.000123709,0.000567478,0.451213287
Delta,2279,0.427419355,80.56164985,17.5515577,0.30715226,1.579640193,57.5,0.451,25.35,15.9,20.95,1.6,13.55,22.7,0.09,51,0.291,0.299,0.116,249.4,0.257,130.84,83.9,-0.62411465,-0.5187974,0.477536675,1.5908E-05,1.5908E-05,2.33439E-05,0.000115529,-0.835008432
Denton,293287,0.460254414,57.68240665,37.50592423,0.897755441,3.913913675,52.1,0.422,41.05,13.55,29.25,0.15,7.3,8.65,0.07,26.8,0.224,0.295,0.084,285,0.175,186.09,34.3,0.640207479,1.062187204,0.641576873,-0.000144135,0.000144135,0.000226928,0.000790607,0.476716045
Dickens,909,0.369362048,83.05830583,14.08140814,0.330033003,2.530253025,78.1,0.478,27.5,21.85,18.95,10.75,13.75,7.25,,61.1,0.331,0.294,0.107,,0.27,122.23,,1.270201538,-1.494874167,0.883729273,-3.35883E-05,3.35883E-05,0.000210088,0.000991169,0.199784058
Dimmit,3225,0.325297559,30.20155039,67.37984496,0.651162791,1.76744186,28.3,0.45,23.9,26.45,21.8,2.25,14,11.55,0.08,87.4,0.357,0.306,0.108,573.2,0.271,471.24,72.7,-0.278466607,-2.219346485,1.209179865,1.492E-05,1.492E-05,0.000405068,0.001117384,0.967280065
Donley,1460,0.395663957,83.90410959,13.01369863,0.342465753,2.739726027,0,0.409,33.8,20.3,18.3,3.35,14.6,9.7,0.09,37.7,0.382,0.313,0.118,465.6,0.286,194.9,,0.060199374,-0.332973799,0.963242484,6.86254E-05,6.86254E-05,7.55165E-05,0.000438395,0.173863319
Duval,4159,0.346872394,31.64222169,66.91512383,0.264486655,1.178167829,25.2,0.467,19.8,24.5,18.45,3.45,15.95,17.85,0.1,84.7,0.379,0.301,0.102,437.1,0.251,620.98,66.6,-1.547495437,-1.948886111,0.90924956,-8.74987E-05,8.74987E-05,0.000330297,0.000796245,0.77321587
Eastland,6935,0.376472504,86.63302091,11.18961788,0.447007931,1.73035328,36.9,0.451,27.75,20.7,21.9,2.3,12.65,14.7,0.08,51.3,0.36,0.324,0.126,209.3,0.282,211.66,88.4,0.618618535,-1.257149266,0.79785361,4.40177E-05,4.40177E-05,0.000156419,0.000587903,0.01973702
Ector,36373,0.273359938,68.66631842,28.11151129,0.459131774,2.763038518,34.7,0.473,22.25,16.7,27.3,0.25,16,17.55,0.1,95.9,0.387,0.32,0.104,580.3,0.275,666.43,76.2,-0.339167925,-1.057759,0.902789628,5.31354E-05,5.31354E-05,0.00011443,0.000475542,0.106175378
Edwards,1065,0.544757033,69.57746479,28.35680751,0.469483568,1.596244131,39.7,0.626,32.35,12,21.8,3.7,20.3,9.9,,72.9,0.414,0.288,0.117,457.8,0.353,250.84,,-0.996291088,-1.382518373,1.204398528,8.06564E-05,8.06564E-05,0.000228356,0.000812417,0.89058292
El Paso,210458,0.275100945,25.92773855,69.13921067,1.384599302,3.548451473,42.5,0.47,28.6,19.85,27.5,0.4,9.8,13.85,0.09,68.7,0.366,0.234,0.084,551.7,0.309,416.96,41.2,-0.575393124,-0.98838961,1.152798996,0.0001508,0.0001508,0.000219989,0.000990383,1.155242782
Ellis,63064,0.432007344,71.0500444,25.6834327,0.510592414,2.755930483,40.4,0.404,31.1,14.7,26.6,0.3,12.7,14.6,0.08,46.6,0.281,0.291,0.098,364.6,0.226,216.98,48.7,0.839543256,0.142555368,0.448291148,-4.8362E-06,4.8362E-06,4.6964E-05,0.000264622,-0.874801412
Erath,13810,0.376581588,81.13685735,15.63359884,0.492396814,2.737146995,43.5,0.466,30.55,13.35,25.75,4.45,10.9,15.15,0.07,30.6,0.294,0.281,0.091,342.3,0.323,184.38,66.3,0.291349769,-0.390428447,0.777489651,6.26192E-05,6.26192E-05,6.47039E-05,0.000637561,-0.120664046
Falls,5232,0.299707854,65.71100917,32.14831804,0.420489297,1.720183486,47.1,0.433,23.9,25.55,21.8,1.95,11.8,14.95,0.1,63.5,0.377,0.31,0.123,613,0.27,196.76,70.8,-0.75684459,-1.809275527,0.674497973,-7.60932E-05,7.60932E-05,0.000218558,0.000751747,0.160641434
Fannin,11972,0.358453846,79.65252255,17.73304377,0.38422987,2.230203809,36.2,0.417,26.5,17.15,22.2,1.5,15.2,17.5,0.07,57.4,0.275,0.321,0.108,235.6,0.255,146.04,81.7,0.235612311,-0.765036912,0.767698801,9.32578E-05,9.32578E-05,9.73027E-05,0.001445793,0.093222985
Fayette,11029,0.467588078,78.41146069,19.28551999,0.408015233,1.89500408,37.1,0.446,29.85,16.8,22.4,1.55,12.6,16.7,0.08,38.7,0.227,0.278,0.113,234.5,0.237,129.75,91.8,0.937715758,-0.189059614,0.490749613,2.47854E-05,2.47854E-05,2.86832E-05,0.00018158,-0.761551576
Fisher,1722,0.430392402,73.46109175,23.40301974,0.580720093,2.555168409,65.7,0.413,33.05,18.45,13.3,5.6,15.35,14.2,0.1,52.3,0.169,0.307,0.12,434.3,0.25,168.01,,1.169204527,-0.550948918,0.857375316,5.62007E-05,5.62007E-05,6.73777E-05,0.000431065,-0.043404733
Floyd,1958,0.298293723,75.22982635,22.2165475,0.153217569,2.40040858,48.5,0.417,29.3,13.6,23.95,9.85,10.7,12.7,0.1,92.7,0.382,0.289,0.122,328.4,0.268,356.37,93.9,0.074135082,-1.320352124,0.673231692,3.04851E-05,3.04851E-05,0.000140241,0.000506426,-0.245451292
Foard,511,0.384210526,74.95107632,22.11350294,0.195694716,2.739726027,59.5,0.458,30.8,23,15.05,11.25,8.5,11.4,,44.9,0.39,0.284,0.123,,0.339,74.31,,-0.132980886,-1.258872957,0.865159808,3.2319E-06,3.2319E-06,0.000158767,0.000567411,-0.091606622
Fort Bend,260367,0.476219828,45.01799383,51.64825035,0.684418532,2.649337282,53.3,0.425,44.7,12.45,26.95,0.2,7.05,8.7,0.09,24.8,0.223,0.252,0.079,201.8,0.198,315.7,34.5,0.656986779,0.993423009,0.832388472,-0.000100125,0.000100125,0.000266312,0.000515049,0.592512517
Franklin,4356,0.404832714,82.2543618,15.26629936,0.275482094,2.203856749,24.6,0.486,28.9,19.35,20.6,1.65,13.9,15.55,0.07,56.2,0.307,0.283,0.111,331.7,0.245,202.22,89.9,1.990879936,-0.451508774,0.537908899,2.38691E-05,2.38691E-05,2.57556E-05,0.000133152,-0.711766171
Freestone,7608,0.392650702,78.79863302,19.20347003,0.170872766,1.827024185,46.5,0.484,34.3,14.7,20.15,3.45,13.9,13.55,0.09,60.8,0.245,0.315,0.114,350.5,0.249,269,85.3,-0.239739941,-0.59522866,0.494286928,2.43183E-05,2.43183E-05,3.67131E-05,0.000152305,-0.741191782
Frio,2683,0.160889902,45.91874767,52.21766679,0.48453224,1.379053299,43,0.436,21.5,23.85,24.3,4.8,13.35,12.15,0.09,95.8,0.343,0.297,0.088,448.3,0.239,213.84,51.9,-1.615489477,-1.334981051,0.954492063,7.45714E-05,7.45714E-05,0.000159976,0.00056135,0.382824917
Gaines,4609,0.284805042,84.76893035,12.9529182,0.433933608,1.844217835,30.4,0.511,25.1,15.3,17.85,8.2,18.45,15.05,0.07,70.4,0.174,0.318,0.097,194.4,0.342,84.99,68.5,0.327135019,-0.639086319,1.332316874,0.000198758,0.000198758,0.00019148,0.001539082,1.562454305
Galveston,123994,0.4322246,59.33029018,36.69774344,0.713744213,3.258222172,52.5,0.449,37.75,16.65,23.45,0.2,10.6,11.25,0.09,46.3,0.292,0.293,0.099,401.4,0.208,348.27,72.4,0.903873186,-0.013357541,0.489227674,1.6975E-05,1.6975E-05,4.37457E-05,0.000136454,-0.768529498
Garza,1475,0.263298822,82.91525424,15.18644068,0.474576271,1.423728814,49.8,0.477,30.6,15.95,22.35,0.95,16.25,13.9,0.11,84.9,0.317,0.329,0.092,243.8,0.228,56.6,64.4,0.374287302,-1.246474446,0.946611958,7.96711E-05,7.96711E-05,0.000157295,0.00047556,0.392052358
Gillespie,13123,0.543125569,79.59308085,17.4197973,0.464832736,2.522289111,54.6,0.436,33.55,15.7,25.05,2.35,13.6,9.8,0.08,48,0.263,0.295,0.116,115.5,0.265,59.18,66.2,0.472142145,0.36637534,0.668662442,6.4651E-06,6.4651E-06,0.000108071,0.000726576,-0.443885889
Glasscock,602,0.457099468,91.86046512,5.647840532,0.332225914,2.159468439,50,0.4,29.6,7.1,18.15,15.6,11.95,17.65,,,0.141,0.298,0.1,,0.258,108.93,,1.792322833,0.50600702,0.955180098,2.8113E-05,2.8113E-05,0.000192935,0.000822606,0.226108334
