County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Presidio,2203,0.286961052,29.59600545,66.18247844,1.316386745,2.905129369,33.8,0.473,28.25,26.1,24.1,9.1,8.65,3.85,0.07,91,0.325,0.252,0.099,270.6,0.373,84.47,,-1.431973446,-1.757087201,1.592327236,0.000195341,0.000195341,0.000407464,0.001173928,2.368899472
Rains,4630,0.420564992,84.64362851,13.36933045,0.323974082,1.663066955,12.5,0.399,26.5,14.3,22.95,0.85,21.5,13.8,0.09,50.4,0.394,0.293,0.118,63.3,0.286,131.26,85.9,0.988705782,-0.466169772,0.766727655,4.47142E-05,4.47142E-05,5.40939E-05,0.000307425,-0.247922608
Randall,53813,0.460873736,80.61063312,15.49811384,0.421831156,3.469421887,45.4,0.439,34.9,16,28.25,0.5,9.15,11.2,0.08,35.3,0.282,0.259,0.089,262.7,0.187,531.95,55.2,0.829650609,0.498015439,0.581703664,-2.2826E-05,2.2826E-05,0.000139396,0.000641469,-0.403926263
Reagan,900,0.283553875,78.77777778,18.55555556,0.222222222,2.444444444,45.8,0.349,21.4,11.65,18.35,3.65,22.8,22.15,0.07,75.1,0.113,0.295,0.094,295,0.304,40.52,,-0.496699337,-0.206287231,1.322362798,0.000180885,0.000180885,0.000216085,0.000855367,1.515861208
Real,1678,0.534905961,82.35995232,15.61382598,0.357568534,1.668653159,32.8,0.402,26.15,24,20.45,5.2,16.8,7.4,,52.2,0.473,0.289,0.13,408.6,0.348,62.85,,-0.259460797,-1.33626248,0.776898546,6.21176E-06,6.21176E-06,0.000144454,0.000478102,-0.223126349
Red River,5147,0.396900062,76.23858558,22.30425491,0.155430348,1.301729163,40.8,0.409,25.5,17.9,19.05,2.5,11.8,23.25,0.09,61.9,0.39,0.315,0.127,126,0.254,249.88,103.2,0.318820607,-1.196856354,0.751172611,-5.0272E-06,5.0272E-06,0.000127475,0.000395088,-0.300612872
Reeves,3184,0.25592798,44.50376884,52.10427136,0.314070352,3.077889447,19.9,0.434,23.05,29.65,18.7,2.8,14.4,11.45,0.11,94.6,0.462,0.309,0.094,232.6,0.273,276.28,52.8,-0.356216102,-2.324130662,1.131173102,-4.99396E-05,4.99396E-05,0.0004458,0.00160244,1.133207206
Refugio,2945,0.399430354,62.13921902,35.11035654,0.339558574,2.410865874,9.1,0.421,25.5,23.65,24.75,1.85,14.25,10.05,0.08,64.7,0.328,0.299,0.117,342.9,0.225,188.95,64.5,0.1012553,-0.753832704,0.739785293,2.946E-05,2.946E-05,5.84913E-05,0.000286685,-0.348998287
Roberts,550,0.597176982,95.27272727,3.636363636,0,1.090909091,0,0.468,45.6,16.05,19.55,4.3,7.6,6.9,,,0.202,0.286,0.104,,0.196,184.71,,0.438375969,0.481115766,0.920634593,2.89156E-05,2.89156E-05,0.00017502,0.000944431,0.14502988
Robertson,7010,0.43202268,66.54778887,31.42653352,0.242510699,1.783166904,78.2,0.478,27.3,21.65,22.7,2.3,12.25,13.85,0.08,70.4,0.385,0.314,0.125,579.5,0.268,302.43,96.5,0.050515216,-1.262201636,0.582161894,-2.41076E-05,2.41076E-05,0.00013077,0.000848555,-0.41639938
